category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric
Lahenga,,AGNIDHARA,AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",3,20,3000,0,"10,347",0,12,AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),2,Agnidhara,AGNIDHARA-cover.jpg,,Size,"M-5,L-5,XL-5,XXL-5",Y,N,"Red,Pink","Chiffon,Silk"
Lahenga,AGNIDHARA-36001,AGNIDHARA,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,Agnidhara,,"AGNIDHARA-36002-1.jpg,AGNIDHARA-36002.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Blue,Silk
Lahenga,AGNIDHARA-36002,AGNIDHARA,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,Agnidhara,,"AGNIDHARA-36001-1.jpg,AGNIDHARA-36001.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Pink,Silk
Lahenga,AGNIDHARA-36003,AGNIDHARA,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,Agnidhara,,"AGNIDHARA-36003-1.jpg,AGNIDHARA-36003.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Multi Color,Silk
Lahenga,,ALIZEH,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",4,20,24000,10,"5,400",0,12,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,2," 
Art Silk, Lahenga",ALIZEH-cover.jpg,,Size,"M-5,L-5,XL-5,XXL-5",Y,N,"Red,Pink",Art Silk
Lahenga,ALIZEH-1011,ALIZEH,Yellow Color Art Silk Fabric Sangeet Wear Lehenga Choli,Yellow Color Art Silk Fabric Sangeet Wear Lehenga Choli,,20,5400,0,"6,000",0,12,Yellow Color Art Silk Fabric Sangeet Wear Lehenga Choli,Yellow Color Art Silk Fabric Sangeet Wear Lehenga Choli,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,2," 
Art Silk, Lahenga",,"ALIZEH-1011-2.jpg,ALIZEH-1011-1.jpg,ALIZEH-1011.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Yellow,Art Silk
Lahenga,ALIZEH-1012,ALIZEH,Classic Sequins Work Designs Purple Color Lehenga Choli,Classic Sequins Work Designs Purple Color Lehenga Choli,,20,5400,0,"6,000",0,12,Classic Sequins Work Designs Purple Color Lehenga Choli,Classic Sequins Work Designs Purple Color Lehenga Choli,Art Silk Fabric Sangeet Wear 4 Pcs Lehenga Choli,2," 
Art Silk, Lahenga",,"ALIZEH-1012-3.jpg,ALIZEH-1012-1.jpg,ALIZEH-1012.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Purple,Art Silk
Lahenga,ALIZEH-1013,ALIZEH,Art Silk Teal Color Sangeet Function Lehenga Choli,Art Silk Teal Color Sangeet Function Lehenga Choli,,20,5400,0,"6,000",0,12,Art Silk Teal Color Sangeet Function Lehenga Choli,Art Silk Teal Color Sangeet Function Lehenga Choli,Art Silk Teal Color Sangeet Function Lehenga Choli,2," 
Art Silk, Lahenga",,"ALIZEH-1013-2.jpg,ALIZEH-1013-1.jpg,ALIZEH-1013.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Teal,Art Silk
Lahenga,ALIZEH-1014,ALIZEH,Rani Color Sequins Work Sangeet Wear Lehenga Choli,Rani Color Sequins Work Sangeet Wear Lehenga Choli,,20,5400,0,"6,000",0,12,Rani Color Sequins Work Sangeet Wear Lehenga Choli,Rani Color Sequins Work Sangeet Wear Lehenga Choli,Rani Color Sequins Work Sangeet Wear Lehenga Choli,2," 
Art Silk, Lahenga",,"ALIZEH-1014-2.jpg,ALIZEH-1014-1.jpg,ALIZEH-1014.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Pink,Art Silk
