category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric
"Salwar Kameez,Readymade",,55420,Shimmer Silk Wholesale Readymade Straight Suit 4 Pieces Catalog,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",4,20,13875,5,2775,10,5,Shimmer Silk Wholesale Readymade Straight Suit 4 Pieces Catalog,Shimmer Silk Wholesale Readymade Straight Suit 4 Pieces Catalog,Shimmer Silk Wholesale Readymade Straight Suit 4 Pieces Catalog,1,"Readymade, straight suit",p-30-cover.jpg,,Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,,Georgette
"Salwar Kameez,Readymade",55421,55420,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,"First Wash Dry Clean
shimmer silk Salwar kameez In light green
This Attire With shimmer silk Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,3749,10,5,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,1,"Readymade, straight suit",,"p-25.jpg,p-24.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Light Green,Silk
"Salwar Kameez,Readymade",55422,55420,Shimmer Silk Blue Party Wear Embroidery Work Readymade Straight Suit,"First Wash Dry Clean
shimmer silk Salwar kameez In light green
This Attire With shimmer silk Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,3749,10,5,Shimmer Silk Blue Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Blue Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Blue Party Wear Embroidery Work Readymade Straight Suit,1,"Readymade, straight suit",,"p-10.jpg,p-9.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Blue,Silk
"Salwar Kameez,Readymade",55423,55420,Shimmer Silk Green Party Wear Embroidery Work Readymade Straight Suit,"First Wash Dry Clean
shimmer silk Salwar kameez In light green
This Attire With shimmer silk Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,3749,10,5,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Green Party Wear Embroidery Work Readymade Straight Suit,1,"Readymade, straight suit",,"p-19.jpg,p-18.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Green,Silk
"Salwar Kameez,Readymade",55424,55420,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,"First Wash Dry Clean
shimmer silk Salwar kameez In light green
This Attire With shimmer silk Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,3749,10,5,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,Shimmer Silk Light Green Party Wear Embroidery Work Readymade Straight Suit,1,"Readymade, straight suit",,"p-30.jpg,p-29.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Light Green,Silk
"Salwar Kameez,Readymade",,55390,Shimmer Silk Wholesale Readymade Straight Suit 4 Pieces Catalog,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",3,20,4871,5,1299,10,5,Viscose Silk Wholesale Readymade Suit 3 Pieces Catalog,Viscose Silk Wholesale Readymade Suit 3 Pieces Catalog,Viscose Silk Wholesale Readymade Suit 3 Pieces Catalog,1,"Readymade, straight suit",p-43-cover.jpg,,Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,,Georgette
"Salwar Kameez,Readymade",55391,55390,Viscose Silk Wine Casual Wear Bandhani Print Readymade Suit,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,1624,10,5,Viscose Silk Wine Casual Wear Bandhani Print Readymade Suit,Viscose Silk Wine Casual Wear Bandhani Print Readymade Suit,Viscose Silk Wine Casual Wear Bandhani Print Readymade Suit,1,"Readymade, straight suit",,"p-40.jpg,p-41.jpg,p-42.jpg,p-43.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Wine,Georgette
"Salwar Kameez,Readymade",55392,55390,Viscose Silk Lavender Casual Wear Bandhani Print Readymade Suit,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,1624,10,5,Viscose Silk Lavender Casual Wear Bandhani Print Readymade Suit,Viscose Silk Lavender Casual Wear Bandhani Print Readymade Suit,Viscose Silk Lavender Casual Wear Bandhani Print Readymade Suit,1,"Readymade, straight suit",,"p-20.jpg,p-21.jpg,p-22.jpg,p-23.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Lavender,Georgette
"Salwar Kameez,Readymade",55393,55390,Viscose Silk Blue Casual Wear Bandhani Print Readymade Suit,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,1624,10,5,Viscose Silk Blue  Casual Wear Bandhani Print Readymade Suit,Viscose Silk Blue Casual Wear Bandhani Print Readymade Suit,Viscose Silk Blue Casual Wear Bandhani Print Readymade Suit,1,"Readymade, straight suit",,"p-11.jpg,p-12.jpg,p-13.jpg,p-14.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Blue,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",,211,Embroidered Palazzo Suit In Art Silk Fabric 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",4,40,10000,5,2500,10,5,Embroidered Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Palazzo Suit In Art Silk Fabric 4 pieces catalog,1,"Readymade, straight suit",INDEX-cover.jpg,,Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,,Art Silk
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",211A,211,Embroidered Green Color Palazzo Suit In Art Silk Fabric 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Embroidered Green Color Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Color Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Color Palazzo Suit In Art Silk Fabric 4 pieces catalog,1,"Readymade, straight suit",,"211A.jpg,211A-A.jpg,211A-B.jpg,211A-C.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Green,Art Silk
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",211B,211,Embroidered Green Purple Palazzo Suit In Art Silk Fabric 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Embroidered Green Purple Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Purple Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Purple Palazzo Suit In Art Silk Fabric 4 pieces catalog,1,"Readymade, straight suit",,"211B.jpg,211B-A.jpg,211B-B.jpg,211B-C.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Purple,Art Silk
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",211C,211,Embroidered Green Blue Palazzo Suit In Art Silk Fabric 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Embroidered Green Blue Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Blue Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Blue Palazzo Suit In Art Silk Fabric 4 pieces catalog,1,"Readymade, straight suit",,"211C.jpg,211C-B.jpg,211C-C.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Blue,Art Silk
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",211D,211,Embroidered Green Maroon Palazzo Suit In Art Silk Fabric 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Embroidered Green Maroon Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Maroon Palazzo Suit In Art Silk Fabric 4 pieces catalog,Embroidered Green Maroon Palazzo Suit In Art Silk Fabric 4 pieces catalog,1,"Readymade, straight suit",,"211D.jpg,211D-A.jpg,211D-B.jpg,211D-C.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Maroon,Art Silk
"Salwar Kameez,Readymade",,5183A,Chinon Beige Embroidered Function Wear Salwar Kameez 4 pieces catalog,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",4,40,10000,5,2500,10,5,Chinon Beige Embroidered Function Wear Salwar Kameez 4 pieces catalog,Chinon Beige Embroidered Function Wear Salwar Kameez 4 pieces catalog,Chinon Beige Embroidered Function Wear Salwar Kameez 4 pieces catalog,1,"Readymade, straight suit",PRICE-cover.jpg,,Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,,Chinon
"Salwar Kameez,Readymade",5183,5183A,Chinon Beige Embroidered Lavender color Function Wear Salwar Kameez,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Chinon Beige Embroidered Lavender color Function Wear Salwar Kameez,Chinon Beige Embroidered Lavender color Function Wear Salwar Kameez,Chinon Beige Embroidered Lavender color Function Wear Salwar Kameez,1,"Readymade, straight suit",,"5183.jpg,5183-A.jpg,5183-B.jpg,5183-C.jpg,5183-D.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Lavender,Chinon
"Salwar Kameez,Readymade",5184,5183A,Chinon Beige Embroidered White color Function Wear Salwar Kameez,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Chinon Beige Embroidered White color Function Wear Salwar Kameez,Chinon Beige Embroidered White color Function Wear Salwar Kameez,Chinon Beige Embroidered White color Function Wear Salwar Kameez,1,"Readymade, straight suit",,"5184.jpg,5184-A.jpg,5184-B.jpg,5184-C.jpg,5184-D.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,White,Chinon
"Salwar Kameez,Readymade",5185,5183A,Chinon Beige Embroidered Black color Function Wear Salwar Kameez,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Chinon Beige Embroidered Black color Function Wear Salwar Kameez,Chinon Beige Embroidered Black color Function Wear Salwar Kameez,Chinon Beige Embroidered Black color Function Wear Salwar Kameez,1,"Readymade, straight suit",,"5185.jpg,5185-A.jpg,5185-B.jpg,5185-C.jpg,5185-D.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Black,Chinon
"Salwar Kameez,Readymade",5186,5183A,Chinon Beige Embroidered Off White color Function Wear Salwar Kameez,"Step out in style with this elegant Embroidered Reach Color Palazzo Salwar Kameez crafted from luxurious art silk fabric. Perfect for weddings, festivals, and special occasions, this outfit features intricate embroidery that enhances its charm. The soft and comfortable art silk fabric ensures ease of movement, while the contemporary palazzo pants add a modern twist to traditional attire. Pair it with statement jewelry and a matching clutch for a stunning ensemble. This set includes the kameez (tunic), palazzo pants, and a matching dupatta (scarf). Make a lasting impression with this gorgeous ensemble.",,40,,5,2500,10,5,Chinon Beige Embroidered Off White color Function Wear Salwar Kameez,Chinon Beige Embroidered Off White color Function Wear Salwar Kameez,Chinon Beige Embroidered Off White color Function Wear Salwar Kameez,1,"Readymade, straight suit",,"5186.jpg,5186-A.jpg,5186-B.jpg,5186-C.jpg,5186-D.jpg",Size,"XXS-5-0,XS-5-0,S-5-0,M-5-0,L-5-0,XL-5-0,XXL-5-0,3XL-5-0
",Y,Y,Black,Chinon
