category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric
Lahenga,,AGNIDHARA,AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",3,20,3000,0,"10,347",0,12,AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),AGNIDHARA - CATALOG # 56678 (SET OF 3 READYMADE LEHENGAS),2,abc,AGNIDHARA-cover.jpg,,Size,"M-5,L-5,XL-5,XXL-5",Y,N,"Red,Pink","Chiffon,Silk"
Lahenga,AGNIDHARA-36001,AGNIDHARA,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Blue Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,abc,,"p-31.jpg,p-32.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Blue,Silk
Lahenga,AGNIDHARA-36002,AGNIDHARA,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Pink Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,abc,,"p-33.jpg,AGNIDHARA-36001.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Pink,Silk
Lahenga,AGNIDHARA-36003,AGNIDHARA,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,"Get ready to dazzle in this set of 3 readymade lehengas from Agnidhara. Perfect for weddings, parties, and special occasions, these lehengas are designed to make you stand out from the crowd.",,20,10347,0,"12,347",0,12,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,Odette Multiple Georgette Digital Printed With Sequins Work Stitched lehenga For Women,2,abc,,"AGNIDHARA-36003-1.jpg,AGNIDHARA-36003.jpg",Size,"M-5,L-5,XL-5,XXL-5",Y,Y,Multi Color,Silk
